dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error,cubic_pde_error
2.0,1,100.0,0.31622776601683794,1e-06,128.0,1.566725917704158e-09,1.9159141836274138e-14,4.974517266222546e-11,1.5635781241678835e-09,9.938227177930567e-13,6.041887200294662e-13,6.275066696575379e-12,0.99999998414929,1.0000029386315168,0.9999999886259908,1.0000000001164615,1.0000000050018465,1.000000000062428,1.0000234036024362,1.0000027806771177,1.0004152078641673
2.0,1,100.0,0.31622776601683794,1e-06,256.0,1.0702938455203462e-10,2.3295453879483287e-14,4.3756956211325e-11,1.0596646560964442e-10,1.0002957049403813e-12,9.506023838119184e-16,1.010479917865264e-12,0.9999999974241491,1.0000014856478858,0.9999999992599432,1.0000000000046187,1.0000000001984175,1.000000000002476,1.000023404074862,1.0000027671896796,1.0004153045646922
2.0,1,100.0,0.31622776601683794,1e-06,512.0,5.93292321163561e-11,1.3268561991838188e-14,3.1325844293574014e-12,5.834465298880255e-11,1.0000760016126506e-12,6.050251094717605e-17,9.160609063775409e-13,1.000000000449499,1.0000016569569716,1.0000000003634895,0.999999999998835,0.9999999999499434,0.9999999999993754,1.0000234007610858,1.0000027691277753,1.0004153006157601
2.0,1,100.0,0.31622776601683794,1e-06,1024.0,1.370123048304601e-10,7.284227813829114e-17,3.752092829009625e-12,1.3606099720127113e-10,9.99994294581753e-13,6.074814952003395e-16,1.1863411617706216e-12,1.0000000005250336,1.0000015675249105,1.000000002418493,0.999999999996308,0.9999999998413851,0.9999999999980206,1.000023396368841,1.000002764533146,1.000415309210451
2.0,1,100.0,0.31622776601683794,1e-06,2048.0,6.207234551183733e-11,1.904685894005568e-15,2.996125284422774e-12,6.123836101793846e-11,9.999942478426046e-13,7.528968514078483e-15,8.126685885520215e-13,0.9999999993774734,1.0000016604534836,1.0000000000215585,0.999999999987002,0.9999999994416058,0.9999999999930316,1.000023400114045,1.0000027675663998,1.0004153059603027
2.0,1,100.0,0.31622776601683794,1e-06,4096.0,5.519524264323546e-11,9.976821944767895e-16,2.6351940730000325e-12,5.418124801880721e-11,9.999947636692584e-13,4.8659482478110767e-17,8.244588271795979e-13,0.9999999998158652,1.0000016455482776,1.0000000005357892,1.0000000000010452,1.0000000000448908,1.00000000000056,1.0000233992170906,1.0000027659496875,1.0004152507069977
2.0,1,100.0,0.31622776601683794,1e-06,8192.0,1.006033694820172e-10,5.869464189749274e-18,4.148244470861314e-12,9.960897029938477e-11,1.0000100269214861e-12,7.892464772950523e-18,1.0044198936755154e-12,1.000000001623483,1.0000018268922395,1.0000000013701547,0.9999999999995793,0.9999999999819208,0.9999999999997742,1.0000233984126516,1.0000027684801387,1.0004152146359981
2.0,1,100.0,0.31622776601683794,1e-06,16384.0,5.020907116956332e-11,4.825556444480783e-16,2.93476526717884e-12,4.94044940130747e-11,9.999941957509875e-13,1.061205688961868e-14,9.272822310971036e-13,0.999999995542788,1.0000017210250893,0.9999999975325659,0.9999999999845677,0.9999999993370656,0.9999999999917268,1.0000234034869009,1.0000027690029523,1.0004153397341404
2.0,1,100.0,0.31622776601683794,1e-06,32768.0,6.910197921195915e-11,4.4441938574935036e-18,2.7935507441592114e-12,6.826909648061933e-11,9.99995704219412e-13,7.634173974773466e-15,7.095707756934984e-13,1.0000000010659948,1.0000015353064247,1.000000000816274,0.9999999999869118,0.9999999994377128,0.9999999999929831,1.0000233987584752,1.0000027669857454,1.000415228190494
2.0,1,100.0,0.4832930238571753,1e-06,128.0,3.43884885629907e-09,8.231501248589756e-14,2.4615922215868947e-10,3.43822334365988e-09,3.130523468665712e-13,5.3537929008009543e-14,3.008722173686269e-11,0.9999999884368507,1.0000014403861326,0.9999999802993182,1.0000000000346663,1.0000000014890753,1.0000000000185858,1.0000233914625796,1.000002781128488,1.0004149144988386
2.0,1,100.0,0.4832930238571753,1e-06,256.0,2.0640854398418806e-10,1.1960692819475117e-14,1.891442306966599e-11,2.0490155815678644e-10,9.997028335941078e-13,5.186643576752399e-14,5.454750441389717e-12,1.0000000045852626,1.0000038587748428,1.000000008379682,1.0000000000341134,1.0000000014653685,1.000000000018288,1.000023396252501,1.0000027872837,1.0004153156895619
2.0,1,100.0,0.4832930238571753,1e-06,512.0,3.2377867150476873e-10,1.34599159508484e-13,2.358709233725114e-11,3.2285671456103676e-10,9.99827114362807e-13,1.5782732323681864e-15,6.8331763966463534e-12,0.9999999936281684,1.0000043229726212,0.9999999974389951,0.9999999999940485,0.9999999997443918,0.9999999999968093,1.000023403678465,1.0000027890282719,1.0004152492348075
2.0,1,100.0,0.4832930238571753,1e-06,1024.0,1.1931059723155507e-10,2.311726100689379e-16,1.2207059519157483e-11,1.1868938038148604e-10,1.0102973830201909e-12,4.707268370602846e-14,3.491711272201108e-12,1.0000000056361344,1.0000031033668573,1.0000000041033204,0.9999999999675021,0.9999999986039326,0.9999999999825763,1.0000233956636824,1.0000027695286997,1.0004151110301986
2.0,1,100.0,0.4832930238571753,1e-06,2048.0,9.153220439322794e-11,1.3073175136782379e-14,8.56340168114887e-12,9.050764677738194e-11,9.999455331674752e-13,1.4960986004427145e-16,3.0692880652818046e-12,1.0000000042154178,1.0000031497407367,1.000000004709128,1.0000000000018323,1.000000000078705,1.000000000000982,1.0000233982924345,1.0000027805763871,1.0004153185776412
2.0,1,100.0,0.4832930238571753,1e-06,4096.0,1.163295083120316e-10,1.6705321099931177e-17,1.1573699583880113e-11,1.150144517446855e-10,1.0001825964996893e-12,2.151146173235264e-14,3.2042201461443293e-12,1.0000000001186928,1.000003153053625,1.000000002029342,1.0000000000219706,1.000000000943759,1.0000000000117781,1.000023400290565,1.0000027777731415,1.0004153648095515
