dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error,cubic_pde_error
2.0,1,100.0,0.31622776601683794,1e-06,128.0,402.5175350777875,0.2513536155207808,0.3866216114790292,226.89993294016438,0.0005353679827037366,117.47401578147348,2.471723943857131,0.9992718377291187,1.9995813702641547,0.9917392820681425,1.2532813052289449,1.6131346669927848,1.4830221724545243,0.9999996701187784,0.9999997254877366,0.9999997768086534
2.0,1,100.0,0.31622776601683794,1e-06,256.0,1.747135609580651e-10,2.4099947510488098e-15,4.855425286173126e-12,1.736980281464057e-10,9.999017524882793e-13,6.061601849507021e-17,1.2388544039247077e-12,0.9999999955065476,1.0000018564132889,0.9999999995624563,1.0000000000013758,0.9999999999468959,0.9999999999999521,1.0001873353306343,1.0000671051184344,1.0096287159228607
2.0,1,100.0,0.31622776601683794,1e-06,512.0,7.932103587645764e-11,3.674665938858163e-15,3.775597816952455e-12,7.819451991988363e-11,9.999964807645134e-13,3.767048658747581e-15,1.0074979059597203e-12,0.9999999971557155,1.0000017246946509,0.9999999997795536,1.0000000000108453,0.9999999995813702,0.9999999999996223,1.0001873317210506,1.0000671229462028,1.0096289446145394
2.0,1,100.0,0.31622776601683794,1e-06,1024.0,5.809271569129975e-11,1.1101660222857826e-14,3.386929451370664e-12,5.690992901540515e-11,9.999947580092041e-13,7.667216373707029e-15,1.0247175270923545e-12,0.9999999988840238,1.0000017735910494,0.999999999861521,1.0000000000154723,0.9999999994027591,0.9999999999994613,1.0001873301277389,1.0000671139910982,1.0096286636869256
2.0,1,100.0,0.31622776601683794,1e-06,2048.0,7.246603527281605e-11,3.057066984071843e-15,3.0593078481281684e-12,7.147881432699282e-11,9.999960950020049e-13,4.10636383147077e-17,8.011422943330736e-13,1.0000000003888616,1.0000016770818043,0.9999999999398087,0.9999999999988678,1.0000000000437077,1.0000000000000393,1.0001873371609638,1.0000671170911088,1.009628859534677
2.0,1,100.0,0.31622776601683794,1e-06,4096.0,6.445615970930577e-11,6.278209588086536e-16,2.9934410650267084e-12,6.344662193212398e-11,9.999946313322266e-13,2.2659914352030723e-17,7.751248407607448e-13,0.9999999967037765,1.0000014918386155,0.999999999756104,1.000000000000841,0.9999999999675324,0.9999999999999708,1.0001873349112786,1.0000671148435658,1.009628970442926
2.0,1,100.0,0.31622776601683794,1e-06,8192.0,4.3321858650033543e-11,1.6263209936933318e-16,1.9953407256405293e-12,4.229632453906952e-11,9.999958563417213e-13,1.6100174213263648e-16,5.867138441468943e-13,1.000000004904078,1.0000012995382073,1.0000000003116811,1.000000000002242,0.999999999913457,0.999999999999922,1.0001873316884697,1.0000671263494267,1.0096289281787798
2.0,1,100.0,0.31622776601683794,1e-06,16384.0,4.710089071070093e-11,1.8818633128280998e-16,2.228485607981675e-12,4.608645184727597e-11,9.999963166746443e-13,5.177387680510885e-17,6.546415451617892e-13,0.9999999958670112,1.0000013839423898,0.9999999996736203,1.0000000000012716,0.9999999999509235,0.9999999999999557,1.0001873483715051,1.0000671330918967,1.0096292977612822
2.0,1,100.0,0.31622776601683794,1e-06,32768.0,5.23672809844174e-11,1.5001062539071746e-16,2.4148532046516487e-12,5.108193398273805e-11,9.999951947950773e-13,1.7884745302936376e-14,6.760136133159009e-13,1.000000002763025,1.000001440722358,1.0000000001513851,1.0000000000236295,0.9999999990878614,0.9999999999991774,1.00018732862941,1.0000671202045597,1.0096287005316766
2.0,1,100.0,0.4832930238571753,1e-06,128.0,,,,,,,,,,,0.0,0.0,0.0,,,
2.0,1,100.0,0.4832930238571753,1e-06,256.0,3.863025232741349e-10,9.687098025535758e-15,1.9953335315329414e-11,3.851098020090085e-10,9.992103660589298e-13,8.558586752227383e-15,6.151778581855409e-12,0.9999999994604419,1.0000034701104563,0.9999999999022663,1.000000000016347,0.9999999993689187,0.999999999999431,1.0001873405909518,1.0000670307515942,1.009628474463935
2.0,1,100.0,0.4832930238571753,1e-06,512.0,1.863785097678809e-10,1.11910056261582e-13,1.9285738856218297e-11,1.8555848401907063e-10,1.000132834833989e-12,8.932865114994232e-15,4.958671019606735e-12,0.9999999961318544,1.0000036986651215,0.9999999998339181,0.9999999999832991,1.0000000006447485,1.0000000000005815,1.0001873455299817,1.0000670547409654,1.0096294267459311
2.0,1,100.0,0.4832930238571753,1e-06,1024.0,1.182940462222922e-10,6.007299551042966e-15,1.2114978733280968e-11,1.1751714872273043e-10,9.989020993456817e-13,1.3931782762199737e-14,3.519455615915721e-12,0.9999999969597858,1.0000032296038932,0.9999999997779604,0.9999999999791434,1.0000000008051626,1.000000000000726,1.0001873546004858,1.0000670535081257,1.009629453923991
2.0,1,100.0,0.4832930238571753,1e-06,2048.0,1.3626137905342646e-10,3.013798465284512e-15,1.2861502739832404e-11,1.356273042612231e-10,9.999575637412072e-13,4.1489888879889285e-14,3.8043364438041045e-12,0.9999999964197946,1.000003383120675,0.9999999996383109,0.9999999999640072,1.000000001389497,1.000000000001253,1.0001873369534324,1.0000670414917343,1.0096297508121577
2.0,1,100.0,0.4832930238571753,1e-06,4096.0,1.1635838755820787e-10,9.323034995814564e-15,1.0665090623065473e-11,1.1548143465477554e-10,9.813903186540746e-13,2.93697568309106e-15,3.1471378185752415e-12,0.9999999985280994,1.0000029609273682,0.9999999997108289,0.999999999990424,1.0000000003696758,1.0000000000003335,1.0001873250968338,1.0000670801155565,1.0096286539006043
2.0,1,100.0,0.4832930238571753,1e-06,8192.0,1.1632607708539045e-10,1.3110445342588534e-14,1.0039445748980952e-11,1.1564010592594645e-10,1.00276559053011e-12,2.998027457688767e-14,2.6427343458718373e-12,0.9999999987002371,1.0000028562205847,1.0000000001030493,0.999999999969405,1.0000000011811012,1.000000000001065,1.0001873413111044,1.000067076150485,1.009629548729423
2.0,1,100.0,0.4832930238571753,1e-06,16384.0,7.029452653015483e-11,6.701678657945405e-16,8.090588254622523e-12,6.946012424975065e-11,1.0158272211278627e-12,8.916326798856038e-15,2.51833350951859e-12,1.0000000011777699,1.0000028328947768,1.0000000001497853,0.9999999999833155,1.0000000006441103,1.0000000000005809,1.0001873350623658,1.0000670443001574,1.0096291442526906
2.0,1,100.0,0.4832930238571753,1e-06,32768.0,8.729998116990837e-11,1.524182151744469e-15,9.823858118559122e-12,8.652262271627716e-11,1.001922356835517e-12,1.4228051657934863e-14,3.002670463794282e-12,1.0000000023023619,1.0000029699955506,1.0000000002812661,0.9999999999789241,1.0000000008136634,1.0000000000007336,1.0001873349530543,1.0000671041797693,1.0096292742507549
2.0,1,100.0,0.7386199822079361,1e-06,128.0,5.028929904341276e-10,6.746866470312767e-14,1.0792702528196827e-10,5.023011332170895e-10,8.928902047277928e-13,3.0837469670848373e-14,2.6102003576744136e-11,0.9999999804925037,1.0000072913824665,0.9999999972385474,0.9999999999689643,1.0000000011982537,1.0000000000010814,1.0001873968114523,1.0000668963028423,1.009625130200503
