dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error,cubic_pde_error
2.0,1,100.0,0.31622776601683794,1e-06,128.0,3.886670577201182e-06,1.1986002051551199e-11,1.690603014880312e-11,3.886670023629071e-06,9.507489157001188e-13,5.337855599914411e-14,1.9667162539355074e-08,0.999999524923936,0.9999401121585206,0.9999997475058132,0.9999999999795519,0.9999999995650287,0.9999999999997599,1.0000168704310093,1.0018053885186808,1.000867234670664
2.0,1,100.0,0.31622776601683794,1e-06,256.0,1.8109872708098853e-10,3.277856915032274e-14,5.132008861535156e-12,1.80692407100759e-10,9.999942380323203e-13,1.3145326528704093e-13,9.048232345125753e-13,0.9999999937818416,1.0000009026337966,0.9999999983382345,0.9999999999682508,0.999999999328459,0.999999999999657,1.0000166675064988,1.0018078697087174,1.0008576999877137
2.0,1,100.0,0.31622776601683794,1e-06,512.0,1.1064733586525176e-10,2.682530911327662e-16,3.6512118733813e-12,1.0976328188458377e-10,9.999942354518443e-13,3.570740975751255e-15,8.715310332263853e-13,1.0000000036670202,1.0000014521764622,1.000000001145375,0.9999999999947685,0.9999999998893327,0.9999999999999435,1.0000166592616728,1.0018079823847286,1.0008572898999548
2.0,1,100.0,0.31622776601683794,1e-06,1024.0,1.1616913410035454e-10,4.285585083028944e-16,3.952389463878187e-12,1.1546917043236984e-10,9.999927120903107e-13,2.6685847160795132e-14,8.278231945047339e-13,1.0000000008728804,1.0000016599906645,1.0000000007086518,0.9999999999856973,0.9999999996974828,0.9999999999998455,1.0000166637578476,1.0018080512673404,1.0008574325262696
2.0,1,100.0,0.31622776601683794,1e-06,2048.0,7.221490156502304e-11,8.727516445859107e-16,3.1616369140718884e-12,7.123948958856654e-11,9.999941523794287e-13,1.5295796291930437e-16,8.201465945779119e-13,0.9999999985262717,1.0000016563822625,0.9999999994095066,0.999999999998917,0.9999999999770965,0.9999999999999882,1.0000166635632266,1.0018081004740678,1.000857418163011
2.0,1,100.0,0.31622776601683794,1e-06,4096.0,4.8800468663302343e-11,7.582082475302768e-16,2.3428740937625307e-12,4.7990794704764583e-11,9.999953858292375e-13,1.003579856126491e-14,6.964035802649362e-13,1.000000000967652,1.0000015646822227,1.00000000030744,0.9999999999912289,0.9999999998144758,0.9999999999999052,1.0000166632506808,1.0018080341732944,1.0008574347258925
2.0,1,100.0,0.31622776601683794,1e-06,8192.0,5.7645286409669705e-11,6.533428405746975e-16,2.6498238058107114e-12,5.6600499788396945e-11,9.99994784745465e-13,4.9065189046288e-16,7.584808170242442e-13,0.9999999984222941,1.0000015960981707,0.9999999994683506,1.0000000000019393,1.000000000041022,1.0000000000000209,1.0000166634810326,1.0018080545619001,1.0008574419687213
2.0,1,100.0,0.31622776601683794,1e-06,16384.0,4.202042708150078e-11,2.9291717023321943e-16,2.3622833760960412e-12,4.100006535305221e-11,9.999953236151974e-13,1.0265554084270604e-16,7.31589162955496e-13,1.0000000000037235,1.0000016119026904,1.0000000001068023,1.000000000000887,1.0000000000187639,1.0000000000000095,1.0000166638713293,1.0018080419908215,1.000857443515435
2.0,1,100.0,0.31622776601683794,1e-06,32768.0,5.103521505597237e-11,7.05082127704969e-16,2.7030327590900534e-12,4.9970892366274064e-11,9.999944694871686e-13,1.002541825176489e-15,8.1013159867936e-13,1.0000000003181126,1.0000016738349142,0.9999999998121963,1.0000000000027722,1.0000000000586369,1.00000000000003,1.0000166629569174,1.0018080511430956,1.0008573420315054
2.0,1,100.0,0.4832930238571753,1e-06,128.0,2.478509169976465e-08,7.153451991378819e-12,4.257517197533308e-10,2.4784951608367773e-08,9.485452912872415e-13,3.595735809656117e-13,3.167455929635748e-10,1.0000000759223489,0.99999994740809,1.0000000498216872,0.9999999999475889,0.9999999988890931,0.9999999999994461,1.0000166255580263,1.0018090338138173,1.000856086767082
