dim,k,p,scale,L_reg,num_samples,eigen_error,orth_error,eigen_cost,fitted_eigen_error,eigenvalue_mse,fitted_eigenvalue_mse,eigenfunc_mse,linear_reconstruction,quadratic_reconstruction,cubic_reconstruction,linear_L_reconstruction,quadratic_L_reconstruction,cubic_L_reconstruction,linear_pde_error,quadratic_pde_error,cubic_pde_error
2.0,1,100.0,0.31622776601683794,1e-06,128.0,2.3666538130529773e-09,6.7352670281518086e-15,1.9254503656316537e-10,2.3657203284954168e-09,1.0008287485499116e-12,1.1726654345373564e-15,8.087993824504415e-12,1.000000001711379,1.0000021140161317,1.000000000684578,0.9999999999997288,0.999999999899641,1.0000000000000104,1.0002312405358418,1.0008653227738653,1.0003824153715395
2.0,1,100.0,0.31622776601683794,1e-06,256.0,1.2613007789290515e-10,2.025293451268886e-15,5.029203879821238e-12,1.2505671772773483e-10,9.99993103103456e-13,1.2984774374694756e-15,1.0412571193637326e-12,0.999999999234108,1.0000018400024242,0.9999999997878676,1.0000000000002855,1.000000000105611,0.9999999999999893,1.0002312221699212,1.0008653140397676,1.0003825413571463
2.0,1,100.0,0.31622776601683794,1e-06,512.0,4.057586949577194e-11,3.482465937167211e-16,1.7939429078403276e-12,3.950489482797182e-11,9.999959769354016e-13,1.216689790431262e-15,4.832281721970125e-13,1.0000000000279032,1.0000011877665982,0.9999999999651766,1.0000000000002762,1.0000000001022424,0.9999999999999896,1.0002312373778008,1.000865245543526,1.000382617141811
2.0,1,100.0,0.31622776601683794,1e-06,1024.0,4.981782206394844e-11,4.652154500648694e-16,2.7283628960404915e-12,4.8810123921050384e-11,9.999948340623612e-13,1.477853444723902e-17,8.047262136261795e-13,1.0000000001522487,1.000001682346254,1.0000000000714944,1.0000000000000304,1.0000000000112672,0.9999999999999988,1.000231237021221,1.0008652679046477,1.0003825644082835
2.0,1,100.0,0.31622776601683794,1e-06,2048.0,4.978297274846222e-11,2.221003967810958e-15,2.208373754258465e-12,4.888463013387719e-11,9.999912739590003e-13,2.723403428556491e-15,5.800399240934769e-13,0.9999999996006276,1.000001377115053,0.9999999999225502,0.9999999999995867,0.9999999998470395,1.0000000000000158,1.0002312292146613,1.00086523127298,1.0003825466973728
2.0,1,100.0,0.31622776601683794,1e-06,4096.0,5.51765675358022e-11,1.0203429941885802e-15,2.6462595311299166e-12,5.41697533962237e-11,9.999948135549982e-13,1.1586280722863186e-17,7.182943164883105e-13,1.0000000001867488,1.0000015736986143,1.0000000000527398,1.0000000000000269,1.0000000000099767,0.999999999999999,1.0002312362825205,1.0008652871023145,1.0003825952133236
2.0,1,100.0,0.31622776601683794,1e-06,8192.0,5.5234288714331024e-11,6.287059096374717e-16,2.6696715045522216e-12,5.42417312002532e-11,9.99994180038779e-13,1.3877638035450587e-17,8.061047012678922e-13,0.9999999999732608,1.0000016479396316,1.0000000000286895,0.9999999999999706,0.9999999999890815,1.000000000000001,1.0002312323104954,1.0008652243702614,1.0003825207101706
2.0,1,100.0,0.31622776601683794,1e-06,16384.0,8.257084448714615e-11,3.7012050652189234e-16,2.9699871118111422e-12,8.157616596966765e-11,9.999939574422334e-13,7.082302687079964e-18,7.30617579627746e-13,1.0000000003318887,1.0000015689669102,1.000000000114658,0.9999999999999789,0.9999999999921999,1.0000000000000009,1.0002312380477925,1.000865261792266,1.0003825660387493
2.0,1,100.0,0.31622776601683794,1e-06,32768.0,3.61950395836905e-11,1.4790906086565996e-16,2.186390230562546e-12,3.5249964466774355e-11,9.999957112880638e-13,7.755172174290682e-16,7.356266481687655e-13,0.9999999990385707,1.0000014768048529,0.9999999998172702,0.9999999999997794,0.9999999999183771,1.0000000000000084,1.0002312198131438,1.00086527870029,1.0003824844727758
2.0,1,100.0,0.4832930238571753,1e-06,128.0,7.973831425801834e-10,2.1479916019843068e-13,3.402255136610322e-11,7.970525544183594e-10,3.551534809848846e-13,4.4013730983419887e-16,1.1108804337523054e-11,1.0000000043170874,1.000002350694146,1.0000000019485007,0.9999999999998341,0.9999999999385182,1.0000000000000064,1.0002312706291971,1.0008654254302982,1.0003821816616763
